IS0_A2,number_CRplants
CN,82
JP,15
PT,20
JM,6
MU,41
BR,62
EC,28
EG,3
US,176
ZA,77
SC,6
IN,35
ES,56
DO,4
HT,18
MY,52
MG,83
CM,25
NC,39
PF,4
PG,6
KG,2
TJ,1
UZ,2
VN,36
KH,6
AT,2
IT,13
KR,4
GA,2
TR,15
TT,2
CL,15
CY,3
LK,29
SH,10
YE,2
MX,73
CV,11
VE,4
AO,1
CK,2
GU,1
MP,1
BN,4
ID,53
PH,27
SG,10
GT,10
DZ,2
PR,8
TZ,26
PE,10
RW,1
BS,1
BO,4
CO,21
PA,6
IR,1
GH,1
KE,8
TH,14
GB,9
GE,1
AL,1
AU,45
BZ,3
HN,11
CR,6
FJ,7
MW,1
WS,2
KY,2
CA,4
BE,1
BG,1
CZ,1
DE,1
HU,1
PL,1
RO,1
RU,1
UA,2
GR,5
GY,1
SR,1
KZ,1
NG,2
ET,4
NI,3
SV,3
PK,3
VI,1
LY,1
VU,2
MT,2
CU,8
UG,3
NA,3
PN,1
SB,1
LA,7
MM,4
AR,4
ZW,1
SZ,1
MZ,2
ZM,1
ST,1
SL,1
GN,1
SO,1
NF,1
NP,2
LR,1
BI,3
LB,3
SY,5
IL,2
BM,1
PS,1
AF,1
BD,1
BT,3
NZ,2
KM,1
CF,1
CI,1
PY,2
FR,12
